"","ID.","Habitat","ResDimension","ConDimension","Model","AIC","BIC"
"2",39835,1,2,2,"PowFit",-100.71673107138,-100.398964904661
"3",39835,1,2,2,"QuaFit",NA,NA
"4",39835,1,2,2,"GenFit",-100.320091209874,-100.081766584834
"5",39835,1,2,2,"CubFit",-95.1589737387815,-94.920649113742
"6",39836,1,1,1,"PowFit",-180.428102584977,-179.217762213001
"7",39836,1,1,1,"QuaFit",-191.851427200844,-190.338501735874
"8",39836,1,1,1,"GenFit",-195.128782868223,-194.221027589241
"9",39836,1,1,1,"CubFit",-146.29951065018,-145.391755371198
"10",39837,1,1,1,"PowFit",-168.961156544781,-167.750816172805
"11",39837,1,1,1,"QuaFit",-168.367043019496,-166.854117554526
"12",39837,1,1,1,"GenFit",-118.375148841521,-117.467393562539
"13",39837,1,1,1,"CubFit",-154.964639024244,-154.056883745262
"14",39838,1,1,1,"PowFit",-201.404303377441,-200.193963005465
"15",39838,1,1,1,"QuaFit",-199.546383211588,-198.033457746618
"16",39838,1,1,1,"GenFit",-203.459533559537,-202.551778280555
"17",39838,1,1,1,"CubFit",-169.31937290593,-168.411617626948
"18",39839,1,1,1,"PowFit",-190.766749996257,-189.556409624281
"19",39839,1,1,1,"QuaFit",-194.139299947653,-192.626374482682
"20",39839,1,1,1,"GenFit",-182.486924168883,-181.579168889901
"21",39839,1,1,1,"CubFit",-166.725316676289,-165.817561397307
"22",39840,1,2,2,"PowFit",-12.0763229797263,-5.74224722590186
"23",39840,1,2,2,"QuaFit",-10.7539452897457,-2.83635059746516
"24",39840,1,2,2,"GenFit",-12.387189619993,-7.63663280462465
"25",39840,1,2,2,"CubFit",-9.19829291110316,-4.44773609573483
"26",39841,1,2,2,"PowFit",-25.9876330085069,-19.1333447416897
"27",39841,1,2,2,"QuaFit",-32.616104246142,-24.0482439126205
"28",39841,1,2,2,"GenFit",-33.6114302614968,-28.4707140613839
"29",39841,1,2,2,"CubFit",-32.541380926121,-27.4006647260081
"30",39842,1,2,2,"PowFit",-0.0557007596057559,6.04974133885889
"31",39842,1,2,2,"QuaFit",1.83068750093461,9.46249012401541
"32",39842,1,2,2,"GenFit",25.2169415911405,29.796023164989
"33",39842,1,2,2,"CubFit",4.65750785951034,9.23658943335882
"34",39843,1,2,2,"PowFit",-20.8176860886439,-15.4888680479431
"35",39843,1,2,2,"QuaFit",-20.538195438512,-13.877172887636
"36",39843,1,2,2,"GenFit",13.6122978011972,17.6089113317229
"37",39843,1,2,2,"CubFit",-24.614336867078,-20.6177233365524
