StudentID	Tarsus	Leg	BillWidth	Handedness	Year
AR0408	17.9	left	5.9	A	2017
AR0408	15.9	right	5.3	A	2017
JP0810	18.2	left	6.3	A	2017
RJC2211	20.3	left	7	A	2017
Y.CHEIF0202	18.1	left	7.5	A	2018
Y.CHEIF0202	19.2	right	7.6	A	2018
NB1403	32.5	right	5.4	A	2018
FW1995	20.4	right	5.3	A	2018
FW1995	19.9	right	6.2	A	2018
GA3101	13.3	left	7.3	A	2018
AF151093	22.4	right	7.2	L	2017
AF151093	16.2	right	5.8	L	2017
AF151093	16.6	right	6.5	L	2017
EM2006	20.6	right	7.3	L	2017
EM2006	20.5	right	6.2	L	2017
JC1409	14.4	left	6.4	L	2017
JC1409	14.1	left	6.2	L	2017
JC1409	21.3	left	6.2	L	2017
JP0810	18.6	left	6.3	L	2017
JS2505	18.3	right	6.3	L	2017
JS2505	18.5	right	6.3	L	2017
JS2505	18.3	right	6.3	L	2017
MG1011	18.3	left	7.1	L	2017
MG1011	18.8	left	7	L	2017
RR2505	20.7	left	8.9	L	2017
RR2505	21.8	right	7	L	2017
SB1594	20.9	right	6.8	L	2017
SG1507	14	left	8.6	L	2017
SG1507	14.5	right	7.9	L	2017
FM2809	63	right	7.9	L	2018
JH3717	20.4	left	7	L	2018
cz2509	20.4	right	7.85	L	2018
JB2010	19	left	5.8	L	2018
JB2010	18.4	left	5.7	L	2018
AF2209	17.6	right	7.3	L	2018
SL1203	18.2	right	5.8	L	2018
SL1203	17.4	left	6.2	L	2018
GA3101	13.6	right	7.8	L	2018
AK2104	19.85	left	7	R	2018
AFC1604	19.5	right	7.5	R	2018
AFC1604	19.3	right	7.1	R	2018
AFC1604	20.2	right	7	R	2018
phb13	16.5	left	8	R	2018
phb13	16.4	right	7.1	R	2018
phb13	16.4	left	8.1	R	2018
bm1104	18.2	right	6.7	R	2018
TL1012	17.9	left	6.3	R	2018
AB2002	15.2	left	7.9	R	2018
SL2010	21.88	left	8.05	R	2018
MD0301	16.87	right	8	R	2018
NB0508	19.5	right	7.9	R	2018
NB0508	19.6	right	8	R	2018
PMK2906	16.7	right	7	R	2018
PMK2906	17.4	right	6.95	R	2018
JS3103	18.4	right	7.1	R	2018
EB0505	18	left	6.8	R	2018
EB0505	6.3	right	6.5	R	2018
EB0505	16.3	right	6.5	R	2018
MS1510	18.3	left	6.4	R	2018
Is0505	17	left	6.6	R	2018
FCG1907	13.05	left	6.1	R	2018
HY0512	17.7	right	5.7	R	2018
YQ0807	17.2	left	8	R	2018
CL1906	20.4	right	6.1	R	2018
AVG2706	13.7	right	7.1	R	2018
